Row,Description,Part,References,Value,Footprint,Quantity Per PCB,Status,Datasheet
1,"Unpolarized capacitor, small symbol",C_Small,C1,10nF,C_0805_2012Metric,1, ,~
2,"Unpolarized capacitor, small symbol",C_Small,C2,100nF / 0.1uF,C_0805_2012Metric,1, ,~
3,USB Full-Featured Type-C Receptacle connector,USB_C_Receptacle,J1,HRO_TYPE-C-31-M-12,USB_C_Receptacle_HRO_TYPE-C-31-M-12_simple,1, ,https://www.usb.org/sites/default/files/documents/usb_type-c.zip
4,"Generic connector, single row, 01x05, script generated (kicad-library-utils/schlib/autogen/connector/)",Conn_01x05,J2,UDPI-connector,UDPI_interface_small,1, ,~
5,"0.38A Id, 60V Vds, N-Channel MOSFET, SOT-23",2N7002K,Q1 Q2 Q3,a2shb,SOT-23,3, ,https://www.diodes.com/assets/Datasheets/ds30896.pdf
6,"Resistor, small symbol",R_Small,R4 R7 R8,100,R_0805_2012Metric,3, ,~
7,"Resistor, small symbol",R_Small,R5 R6,5.1k,R_0805_2012Metric,2, ,~
8,"Resistor, small symbol",R_Small,R1 R2 R3,300k,R_0805_2012Metric,3, ,~
9,"20MHz, 8kB Flash, 512B SRAM, 128B EEPROM, SOIC-14",ATtiny814-SS,U1,ATtiny814-SS,SOIC-14_3.9x8.7mm_P1.27mm,1, ,http://ww1.microchip.com/downloads/en/DeviceDoc/40001912A.pdf





